,cluster_0,cluster_1,cluster_2,cluster_3
104,A17527_4,A05AAF_2,A2862F_1,A32ED8_3
105,A17527_6,A05AAF_3,A2882A_1,A335B4_1
106,A175FC_2,A05AAF_4,A2882A_2,A339B4_1
107,A17F45_1,A05AAF_5,A28DEB_1,A33AC2_1
108,A18403_2,A05AB3_2,A28DEB_2,A33AC2_4
109,A187BA_3,A05AB3_3,A2B9A8_2,A33AC2_5
110,A18DE7_1,A05B1A_1,A30E54_1,A33D62_1
111,A190C7_1,A05B1A_3,A31FFC_1,A34627_1
112,A190C7_3,A05B1A_4,A31FFC_2,A3524E_1
113,A19691_2,A05B1A_5,A32321_1,A3524E_3
114,A19691_6,A05E82_1,A32321_3,A3571C_1
115,A19691_7,A05E82_2,A326D8_1,A3571C_3
116,A19A48_2,A06020_1,A3276A_1,A359BC_1
117,A19A48_4,A06020_2,A32C7C_1,A359BC_3
118,A19A48_6,A06A7E_1,A32F9D_1,A35AD3_1
119,A19A48_8,A06E71_1,A343C4_3,A3612A_1
120,A19AC7_3,A06E71_3,A35365_1,A369AF_2
121,A1A1B6_2,A06E71_6,A35365_2,A379CD_1
122,A1A1B6_4,A0822C_2,A3571C_4,A379CD_3
123,A1A1B6_6,A0822C_5,A371A3_1,A37D8D_2
124,A1A56D_3,A0822C_6,A376E2_1,A37F2A_1
125,A1A924_1,A0822C_7,A376E2_2,A37F2A_2
126,A1A924_7,A0822C_8,A3A474_1,A384F2_1
127,A1A9A3_3,A0822C_9,A3B185_1,A38D8D_1
128,A1ACCE_2,A08512_2,A3B4E9_1,A390D6_1
129,A1ACDB_4,A08512_3,A3B4E9_2,A39630_1
130,A1ACDB_6,A09DA3_2,A3B757_1,A39630_3
131,A1ACDB_8,A0A635_2,A3BCC9_1,A39EAC_1
132,A1AD5A_2,A0A635_3,A3D783_1,A3A53E_1
133,A1AD90_3,A0A967_2,A3D783_2,A3A53E_4
134,A1B092_3,A0A967_4,A3D7E4_1,A3B4F6_1
135,A1B092_5,A0A967_5,A3E289_1,A3B8AD_1
136,A1B092_7,A0A967_6,A3E289_2,A3CCBD_1
137,A1B4E1_2,A0A967_7,A3EE1F_1,A3E2F6_1
138,A1BA59_1,A0A967_8,A3F161_1,A3E6B1_2
139,A1BA59_5,A0A967_9,A3F40C_2,A3ECCE_1
140,A1BE10_2,A0A96C_2,A3F944_1,A3F43C_1
141,A1BE10_4,A0A96C_4,A40DBB_1,A3F58D_1
142,A1C013_1,A0A96C_5,A40DE5_1,A3FF61_1
143,A1C05D_1,A0A96C_6,A40DE5_2,A40460_1
144,A1C57E_1,A0A96C_7,A42A97_1,A41096_1
145,A1C57E_3,A0A96C_8,A438F1_1,A427BC_1
146,A1C57E_6,A0A9AC_10,A4806C_1,A427BC_2
147,A1C5EF_1,A0A9AC_2,A49ECB_1,A4322B_1
148,A1C5FD_2,A0A9AC_5,A49FD2_1,A44854_1
149,A1C5FD_3,A0A9AC_7,A4A808_1,A452F2_1
150,A1CD6B_1,A0A9AC_8,A4A82F_1,A452F2_2
151,A1CD91_1,A0A9AC_9,A4A82F_2,A47303_1
152,A1D0A3_1,A0A9D4_1,A4AB84_1,A49314_1
153,A1D0A3_3,A0A9D4_10,A4AD69_1,A49E39_1
154,A1D122_4,A0A9D4_3,A4AD69_2,A4B961_1
155,A1E60E_2,A0A9D4_5,A4AE28_1,A4CBC8_3
156,A203C6_3,A0A9D4_6,A4B916_1,A4D435_1
157,A22478_1,A0A9D4_8,A4B916_2,A4DBA3_1
158,A22753_3,A0A9D6_1,A4B916_3,A4EE64_2
159,A22E28_2,A0A9D6_10,A4B916_4,A4EFD6_1
160,A23F37_2,A0A9D6_11,A4C004_1,A500C5_2
161,A24031_1,A0A9D6_12,A4CBC8_1,A50FA1_2
162,A24031_3,A0A9D6_2,A4CBC8_2,A52171_1
163,A24031_5,A0A9D6_6,A4EEED_1,A526EA_1
164,A243E8_2,A0A9D6_7,A50048_2,A540EB_1
165,A2479F_3,A0A9D6_8,A5102C_1,A540EB_2
166,A252C4_2,A0A9F0_1,A5102C_2,A54684_1
167,A25565_2,A0A9F0_2,A51A48_1,A54C0C_1
168,A257BC_4,A0AA1B_1,A539BF_1,A54C0C_2
169,A25C8B_2,A0AA1B_10,A569C4_4,A54E6A_1
170,A263F9_1,A0AA1B_11,A57A1D_1,A54EB1_1
171,A263F9_4,A0AA1B_2,A57A1D_2,A54EB1_3
172,A2992C_1,A0AA1B_3,A57A1D_3,A54EB1_5
173,A2ADDF_2,A0AA1B_4,A57A1D_4,A55296_1
174,A2ADDF_3,A0AA1B_5,A5A226_1,A559C3_1
175,A2ADDF_5,A0AA1B_6,A5C289_1,A55D45_1
176,A31731_1,A0AA1B_7,A5CDFD_1,A55D45_2
177,A32321_2,A0AA1B_8,A5CDFD_2,A55D45_3
178,A32321_4,A0AA1B_9,A5CDFD_3,A5686A_1
179,A326D8_2,A0AC92_1,A5CDFD_4,A5686A_2
180,A3276A_2,A0AC92_2,A5CDFD_5,A569C4_1
181,A3282F_4,A0AC93_1,A5CDFD_6,A56FD9_1
182,A32ACF_1,A0AC93_2,A5CDFD_7,A57253_1
183,A32ACF_2,A0AC93_3,A5CDFD_8,A5799F_1
184,A32E86_2,A0AC93_4,A5CDFD_9,A57A1D_5
185,A32ED8_2,A0AC93_5,A5D041_1,A588F9_1
186,A32ED8_4,A0AC93_6,A5D487_1,A588F9_3
187,A32F9D_2,A0AC93_8,A5F6B3_1,A59D67_1
188,A3323D_1,A0AC93_9,A5F6B3_2,A59D67_2
189,A339B4_2,A0AF67_3,A6082F_3,A5BB1F_1
190,A339B4_3,A0AF67_4,A6331A_1,A5BB1F_2
191,A33AC2_3,A0AF67_5,A6338B_1,A5BB1F_3
192,A33D62_2,A0AF67_6,A63864_1,A5E2D7_1
193,A343C4_2,A0B82F_1,A63864_3,A5E6F5_1
194,A3524E_2,A0B82F_2,A63A57_1,A5EA1B_1
195,A35365_4,A0C521_1,A63BD4_2,A62F85_2
196,A359BC_2,A0C521_2,A63F16_2,A63F77_1
197,A359BC_4,A0C521_3,A65560_1,A6432E_1
198,A35AD3_3,A0CEE8_1,A67BD0_2,A6465A_1
199,A3612A_2,A0CEE8_2,A691CB_2,A646E5_1
200,A369AF_1,A0CEE8_3,A69C6F_1,A64DD1_1
201,A369AF_4,A0CEE8_4,A6A0E3_1,A64E02_1
202,A37616_1,A0CEE8_5,A6A45E_1,A666D2_1
203,A37616_2,A0CEE8_6,A6ACED_1,A66A5D_1
204,A379CD_2,A0D1EB_1,A6ACED_2,A67857_1
205,A379CD_4,A0D1EB_2,A6ACED_3,A68371_1
206,A37D8D_1,A0D1EB_3,A6D645_1,A69582_1
207,A37D8D_3,A0D1EB_4,A6E344_1,A6982F_1
208,A38213_2,A0D1EB_5,A6E480_2,A69BAF_1
209,A384F2_2,A0D1EB_6,A6F713_1,A69C5D_1
210,A389DE_4,A0D1EB_7,A6FFED_1,A6A1D6_1
211,A38C60_1,A0D29F_1,A704B9_1,A6AF49_2
212,A39630_2,A0D29F_2,A704D2_2,A6B100_1
213,A39630_4,A0D29F_3,A7076C_1,A6B86E_3
214,A39D11_2,A0D590_1,A708E6_1,A6BFDC_1
215,A39EAC_3,A0DAA9_1,A709EF_1,A6BFDC_5
216,A3A53E_3,A0DDC4_1,A70D37_1,A6C46F_1
217,A3B4F6_3,A0E17B_1,A72859_1,A6D34B_1
218,A3E6B1_1,A0E2D6_1,A72C3B_1,A6D95B_2
219,A3ECCE_3,A0E503_2,A760EE_1,A6EBEE_1
220,A3EE1F_2,A0EE2E_1,A7618F_2,A6EC95_1
221,A3F161_2,A0F8F1_1,A76CB4_2,A6F637_1
222,A3F161_3,A0F8F1_2,A76CB4_3,A6FFFE_1
223,A3F43C_3,A0F8F1_3,A788DB_1,A703B5_1
224,A3F944_2,A0F8F1_4,A78CC5_1,A704D2_1
225,A4003D_2,A0F8F1_5,A78CC5_3,A7140A_1
226,A40DBB_2,A0F8F1_6,A79B1C_1,A71B82_2
227,A41096_4,A0FBFD_1,A79CBD_1,A7215C_1
228,A427BC_4,A0FBFD_2,A79CBD_3,A726FA_2
229,A4322B_2,A0FBFD_3,A7D35E_1,A727BE_2
230,A438F1_2,A105F2_2,A7D666_1,A72844_1
231,A43B59_1,A1109B_2,A7D774_1,A72894_1
232,A44416_1,A118F1_1,A7DF32_1,A752B3_2
233,A44416_2,A11AD7_1,A7DF32_2,A7566A_2
234,A4494E_1,A12FB0_1,A7F040_1,A76103_1
235,A45587_1,A12FB0_2,A813E7_1,A76103_2
236,A46070_1,A12FB0_3,A813E7_2,A76622_1
237,A4A808_2,A130DB_3,A81473_1,A7767B_1
238,A4B57E_1,A1335B_1,A81473_2,A7827C_1
239,A4C4A0_1,A13687_1,A88D26_1,A7907C_1
240,A4DA4C_1,A13687_2,A88E98_1,A7D395_1
241,A4DA4C_2,A15A68_1,A88E98_2,A7D395_3
242,A4EBEA_2,A15AAE_1,A8B3BD_1,A7D464_2
243,A4EE36_2,A15E20_1,A8B3BD_2,A7D6A9_1
244,A4EE64_1,A15E22_2,A8B69C_1,A7D7AF_1
245,A4EFD6_4,A189B4_1,A8C31B_1,A7D7AF_3
246,A4F38D_1,A18DDC_1,A8D665_1,A7ED05_1
247,A4FBEE_1,A18DDC_2,A8D99C_1,A80DE5_1
248,A4FCA5_1,A18DDC_3,A8D99C_2,A81F1A_1
249,A500C5_1,A18DDC_4,A8D99C_3,A828D3_1
250,A512BE_3,A190C7_4,A8D99C_4,A8311B_1
251,A52171_3,A190C7_5,A8D99C_5,A88462_1
252,A526EA_2,A19372_4,A8D99C_6,A88D72_1
253,A53720_1,A193DF_1,A8D99C_7,A8BD16_1
254,A540EB_3,A193DF_2,A8D99C_8,A8DB55_1
255,A54E6A_2,A19689_1,A8D99C_9,A8E06E_1
256,A54EB1_2,A19691_1,A904CA_1,A90421_1
257,A54EB1_4,A19691_3,A904CA_2,A90C14_3
258,A54EB1_6,A19691_4,A90C43_1,A9511F_1
