,cluster_0,cluster_1,cluster_2,cluster_3
492,AD82E4_1,A4B205_9,,
493,ADD25E_2,A4B961_2,,
494,ADD352_2,A4B973_1,,
495,ADE5D4_1,A4B973_10,,
496,,A4B973_11,,
497,,A4B973_12,,
498,,A4B973_13,,
499,,A4B973_2,,
500,,A4B973_3,,
501,,A4B973_4,,
502,,A4B973_5,,
503,,A4B973_6,,
504,,A4B973_7,,
505,,A4B973_8,,
506,,A4B973_9,,
507,,A4BD2A_1,,
508,,A4BD2A_10,,
509,,A4BD2A_11,,
510,,A4BD2A_12,,
511,,A4BD2A_13,,
512,,A4BD2A_14,,
513,,A4BD2A_15,,
514,,A4BD2A_16,,
515,,A4BD2A_17,,
516,,A4BD2A_18,,
517,,A4BD2A_19,,
518,,A4BD2A_2,,
519,,A4BD2A_20,,
520,,A4BD2A_21,,
521,,A4BD2A_22,,
522,,A4BD2A_23,,
523,,A4BD2A_24,,
524,,A4BD2A_25,,
525,,A4BD2A_26,,
526,,A4BD2A_27,,
527,,A4BD2A_3,,
528,,A4BD2A_4,,
529,,A4BD2A_5,,
530,,A4BD2A_6,,
531,,A4BD2A_7,,
532,,A4BD2A_8,,
533,,A4BD2A_9,,
534,,A4C98C_1,,
535,,A4CBC8_4,,
536,,A4D58F_1,,
537,,A4D58F_2,,
538,,A4D5CD_1,,
539,,A4D5CD_10,,
540,,A4D5CD_11,,
541,,A4D5CD_12,,
542,,A4D5CD_13,,
543,,A4D5CD_14,,
544,,A4D5CD_2,,
545,,A4D5CD_3,,
546,,A4D5CD_4,,
547,,A4D5CD_5,,
548,,A4D5CD_6,,
549,,A4D5CD_7,,
550,,A4D5CD_8,,
551,,A4D5CD_9,,
552,,A4D8F5_1,,
553,,A4D8F5_2,,
554,,A4EBEA_1,,
555,,A4EE36_1,,
556,,A4EE64_3,,
557,,A4EFD6_2,,
558,,A4EFD6_3,,
559,,A50048_1,,
560,,A500C5_3,,
561,,A50C34_1,,
562,,A50FA1_1,,
563,,A512BE_1,,
564,,A512BE_2,,
565,,A512BE_4,,
566,,A5164B_1,,
567,,A5164B_2,,
568,,A52171_2,,
569,,A5324E_1,,
570,,A5324E_2,,
571,,A5324E_3,,
572,,A5324E_4,,
573,,A5397D_1,,
574,,A54684_2,,
575,,A54AB2_1,,
576,,A55D7B_1,,
577,,A55D7B_2,,
578,,A55D7B_3,,
579,,A55D7B_4,,
580,,A569C4_2,,
581,,A56DC1_1,,
582,,A57413_1,,
583,,A57413_2,,
584,,A57666_1,,
585,,A57666_2,,
586,,A5772D_1,,
587,,A57B3F_1,,
588,,A57B3F_2,,
589,,A57B49_1,,
590,,A57DD4_1,,
591,,A584C4_1,,
592,,A58542_1,,
593,,A58542_2,,
594,,A58542_3,,
595,,A588F9_2,,
596,,A58962_1,,
597,,A597F2_1,,
598,,A5B83F_1,,
599,,A5B83F_2,,
600,,A5D041_2,,
601,,A5D478_2,,
602,,A5D478_3,,
603,,A5E880_1,,
604,,A5E880_10,,
605,,A5E880_11,,
606,,A5E880_12,,
607,,A5E880_13,,
608,,A5E880_14,,
609,,A5E880_15,,
610,,A5E880_16,,
611,,A5E880_17,,
612,,A5E880_18,,
613,,A5E880_19,,
614,,A5E880_2,,
615,,A5E880_20,,
616,,A5E880_21,,
617,,A5E880_22,,
618,,A5E880_3,,
619,,A5E880_4,,
620,,A5E880_5,,
621,,A5E880_6,,
622,,A5E880_7,,
623,,A5E880_8,,
624,,A5E880_9,,
625,,A5F57C_1,,
626,,A5F6B3_3,,
627,,A5FB8C_1,,
628,,A6082F_1,,
629,,A60F59_1,,
630,,A60F59_2,,
631,,A61A6B_1,,
632,,A61A6B_2,,
633,,A62F85_3,,
634,,A6322E_1,,
635,,A6333C_1,,
636,,A63AB8_1,,
637,,A63F77_2,,
638,,A63F77_3,,
639,,A6432E_2,,
640,,A6465A_2,,
641,,A6465D_1,,
642,,A64684_1,,
643,,A64684_2,,
644,,A646E5_2,,
645,,A646F9_1,,
646,,A64E02_2,,
647,,A658A4_1,,
648,,A658A4_2,,
649,,A658A4_3,,
650,,A66E64_1,,
651,,A67571_1,,
652,,A67FBA_1,,
653,,A68AA3_1,,
654,,A68AA3_2,,
655,,A691CB_1,,
656,,A69582_2,,
657,,A6985D_1,,
658,,A69FAC_1,,
659,,A6A45E_2,,
660,,A6AE15_1,,
661,,A6AE15_2,,
662,,A6AE15_3,,
663,,A6AF49_3,,
664,,A6AF49_4,,
665,,A6B94A_1,,
666,,A6BD01_1,,
667,,A6BD01_2,,
668,,A6BF0F_1,,
669,,A6BF0F_2,,
670,,A6BF0F_3,,
671,,A6BFDC_2,,
672,,A6C46F_2,,
673,,A6C8CD_1,,
674,,A6CBDD_1,,
675,,A6CFB7_1,,
676,,A6D03B_1,,
677,,A6D3F2_1,,
678,,A6D95B_3,,
679,,A6DDB9_2,,
680,,A6EBEE_2,,
681,,A6EC95_2,,
682,,A6F637_2,,
683,,A6F637_3,,
684,,A6F7BA_1,,
685,,A6F9EE_2,,
686,,A6FBDF_1,,
687,,A70108_1,,
688,,A70108_2,,
689,,A703B5_2,,
690,,A704D2_3,,
691,,A704D2_4,,
692,,A708E6_2,,
693,,A70EA3_1,,
694,,A71B82_3,,
695,,A72249_1,,
696,,A722E7_1,,
697,,A727BE_3,,
698,,A727BE_4,,
699,,A736A7_1,,
700,,A736A7_10,,
701,,A736A7_11,,
702,,A736A7_2,,
703,,A736A7_3,,
704,,A736A7_4,,
705,,A736A7_5,,
706,,A736A7_6,,
707,,A736A7_7,,
708,,A736A7_8,,
709,,A736A7_9,,
710,,A74D2B_1,,
711,,A76103_3,,
712,,A76546_1,,
713,,A76622_2,,
714,,A76E37_1,,
715,,A7706B_1,,
716,,A7764C_1,,
717,,A7764C_2,,
718,,A7767B_2,,
719,,A77DA1_1,,
720,,A77DA1_2,,
721,,A7827C_2,,
722,,A7827C_3,,
723,,A7890E_1,,
724,,A7A61E_1,,
725,,A7BEF2_1,,
726,,A7BF85_1,,
727,,A7C7CD_1,,
728,,A7C7CD_2,,
729,,A7C8AE_1,,
730,,A7D35E_2,,
731,,A7D3E1_1,,
732,,A7D3E1_2,,
733,,A7D3E1_3,,
734,,A7D6A9_2,,
735,,A7D774_2,,
736,,A7D7AF_4,,
737,,A7DACF_1,,
738,,A7DACF_2,,
739,,A7DAF1_1,,
740,,A7DAF1_2,,
741,,A7DE71_1,,
742,,A7DE71_2,,
743,,A7DED2_1,,
744,,A7DED2_2,,
745,,A7DED2_3,,
746,,A7DEF8_1,,
747,,A7E666_2,,
748,,A7E666_3,,
749,,A7F040_2,,
750,,A7F040_3,,
751,,A80F90_1,,
752,,A80F90_2,,
753,,A81624_1,,
754,,A81624_10,,
755,,A81624_11,,
756,,A81624_12,,
757,,A81624_13,,
758,,A81624_14,,
759,,A81624_15,,
760,,A81624_16,,
761,,A81624_17,,
762,,A81624_18,,
763,,A81624_19,,
764,,A81624_2,,
765,,A81624_20,,
766,,A81624_21,,
767,,A81624_3,,
768,,A81624_4,,
769,,A81624_5,,
770,,A81624_6,,
771,,A81624_7,,
772,,A81624_8,,
773,,A81624_9,,
774,,A81F1A_2,,
775,,A82643_1,,
776,,A82836_1,,
777,,A82D54_1,,
778,,A84C57_1,,
779,,A84C57_2,,
780,,A8AACE_1,,
781,,A8AACE_2,,
782,,A8AACE_3,,
783,,A8BC03_1,,
784,,A8BC03_2,,
785,,A8BD16_2,,
786,,A8DB55_2,,
787,,A8FBF7_1,,
788,,A8FBF7_2,,
789,,A90229_1,,
790,,A90C14_1,,
791,,A90C43_2,,
792,,A92615_3,,
793,,A92615_4,,
794,,A93134_1,,
795,,A93134_2,,
796,,A95169_4,,
797,,A958D8_1,,
798,,A958D8_2,,
799,,A95D95_1,,
800,,A95D95_2,,
801,,A95D95_3,,
802,,A96C85_1,,
803,,A96C85_2,,
804,,A96C85_3,,
805,,A96C85_4,,
806,,A98F6F_1,,
807,,A98F6F_2,,
808,,A98F6F_5,,
809,,A993AC_1,,
810,,A9A153_2,,
811,,A9A1EB_1,,
812,,A9A698_1,,
813,,A9A698_2,,
814,,A9AFE2_1,,
815,,A9BBEC_1,,
816,,A9BD90_1,,
817,,A9BD90_2,,
818,,A9C2B3_1,,
819,,A9CA37_1,,
820,,A9CC7A_4,,
821,,A9CC7A_5,,
822,,A9FF1E_2,,
823,,A9FF1E_4,,
824,,AA02D5_2,,
825,,AA0381_2,,
826,,AA0E50_1,,
827,,AA0EA1_1,,
828,,AA1935_1,,
829,,AA3C5C_1,,
830,,AA5498_1,,
831,,AA5D9F_2,,
832,,AA635D_1,,
833,,AA6466_2,,
834,,AA67F1_1,,
835,,AA67F1_2,,
836,,AA67F1_3,,
837,,AA6CE9_1,,
838,,AA7199_1,,
839,,AA8214_2,,
840,,AA8477_2,,
841,,AA84DC_2,,
842,,AA8548_1,,
843,,AA8548_2,,
844,,AA8FDA_1,,
845,,AA8FDA_2,,
846,,AA9108_1,,
847,,AA9108_2,,
848,,AA9108_3,,
849,,AA9224_1,,
850,,AA929C_1,,
851,,AA9963_2,,
852,,AA9D1A_1,,
853,,AAA0D1_1,,
854,,AAAE77_1,,
855,,AAAE77_2,,
856,,AAAFAD_3,,
857,,AAB340_1,,
858,,AAB340_2,,
859,,AAB5B4_1,,
860,,AABA1B_2,,
861,,AAC499_1,,
862,,AAC873_1,,
863,,AAD72C_2,,
864,,AADA90_2,,
865,,AADB14_1,,
866,,AADC82_1,,
867,,AADC82_2,,
868,,AADFE5_2,,
869,,AAE1C2_1,,
870,,AAE1F4_1,,
871,,AAE1F4_2,,
872,,AAE1F4_3,,
873,,AAE1F4_4,,
874,,AAE1F4_5,,
875,,AAE1F4_6,,
876,,AAE1F4_7,,
877,,AAE29D_1,,
878,,AAE2F1_1,,
879,,AAE371_1,,
880,,AAE371_2,,
881,,AAE5AB_1,,
882,,AAE5AB_2,,
883,,AAE5AB_3,,
884,,AAE5AB_4,,
885,,AAE5AB_5,,
886,,AAFE71_1,,
887,,AB0195_1,,
888,,AB0195_2,,
889,,AB1257_1,,
890,,AB2462_1,,
891,,AB2AE2_10,,
892,,AB2AE2_11,,
893,,AB2AE2_2,,
894,,AB2AE2_3,,
895,,AB2AE2_4,,
896,,AB2AE2_6,,
897,,AB2AE2_9,,
898,,AB318C_2,,
899,,AB318C_3,,
900,,AB31A4_1,,
901,,AB356B_1,,
902,,AB400E_1,,
903,,AB4BB5_1,,
904,,AB55F2_2,,
905,,AB6458_1,,
906,,AB6BC6_1,,
907,,AB7E2A_2,,
908,,AB7FF0_1,,
909,,AB7FF0_11,,
910,,AB7FF0_3,,
911,,AB7FF0_4,,
912,,AB7FF0_5,,
913,,AB7FF0_7,,
914,,AB8EE9_1,,
915,,AB9657_1,,
916,,AB9657_2,,
917,,AB9E5A_1,,
918,,ABA6EA_1,,
919,,ABA6EA_2,,
920,,ABBAB6_1,,
921,,ABBE75_1,,
922,,ABBE75_2,,
923,,ABBE75_3,,
924,,ABC8CE_2,,
925,,ABCCD8_1,,
926,,ABF002_1,,
927,,ABF002_3,,
928,,ABF002_4,,
929,,ABF002_5,,
930,,ABF002_6,,
931,,ABF002_7,,
932,,ABF002_8,,
933,,ABF002_9,,
934,,ABF6D8_1,,
935,,ABFF62_1,,
936,,ABFF62_2,,
937,,ABFF62_3,,
938,,AC0041_1,,
939,,AC0041_2,,
940,,AC0041_3,,
941,,AC0041_4,,
942,,AC0041_5,,
943,,AC058F_1,,
944,,AC1106_1,,
945,,AC2AB8_1,,
946,,AC2C25_1,,
947,,AC2C25_2,,
948,,AC2C25_3,,
949,,AC2C25_4,,
950,,AC2C25_5,,
951,,AC2C25_6,,
952,,AC2C25_7,,
953,,AC2C25_8,,
954,,AC2C49_1,,
955,,AC2C49_2,,
956,,AC2C49_4,,
957,,AC2C49_5,,
958,,AC2C49_6,,
959,,AC2C49_8,,
960,,AC2C49_9,,
961,,AC3078_2,,
962,,AC3078_3,,
963,,AC317B_1,,
964,,AC317B_2,,
965,,AC3B24_2,,
966,,AC3B24_4,,
967,,AC3B24_5,,
968,,AC3B24_9,,
969,,AC442A_2,,
970,,AC4480_2,,
971,,AC4669_1,,
972,,AC4669_2,,
973,,AC4C7D_1,,
974,,AC4C7D_2,,
975,,AC4C7D_4,,
976,,AC4C7D_7,,
977,,AC5033_1,,
978,,AC5033_2,,
979,,AC5033_3,,
980,,AC5033_4,,
981,,AC575B_2,,
982,,AC575B_5,,
983,,AC575B_6,,
984,,AC5802_2,,
985,,AC5E87_1,,
986,,AC623C_1,,
987,,AC623C_2,,
988,,AC623C_3,,
989,,AC623C_4,,
990,,AC623C_6,,
991,,AC623C_8,,
992,,AC623C_9,,
993,,AC70C2_1,,
994,,AC85EA_1,,
995,,AC85EA_3,,
996,,AC85EA_4,,
997,,AC8CE4_1,,
998,,AC8CE4_2,,
999,,AC8CE4_3,,
1000,,AC8CE4_4,,
1001,,AC8CE4_5,,
1002,,AC9936_1,,
1003,,ACA287_2,,
1004,,ACA2ED_2,,
1005,,ACA2ED_3,,
1006,,ACA5C2_1,,
1007,,ACA794_1,,
1008,,ACB1B2_1,,
1009,,ACB1F5_1,,
1010,,ACB5AC_1,,
1011,,ACB5AC_10,,
1012,,ACB5AC_11,,
1013,,ACB5AC_12,,
1014,,ACB5AC_13,,
1015,,ACB5AC_14,,
1016,,ACB5AC_15,,
1017,,ACB5AC_16,,
1018,,ACB5AC_17,,
1019,,ACB5AC_18,,
1020,,ACB5AC_19,,
1021,,ACB5AC_2,,
1022,,ACB5AC_20,,
1023,,ACB5AC_21,,
1024,,ACB5AC_3,,
1025,,ACB5AC_4,,
1026,,ACB5AC_5,,
1027,,ACB5AC_6,,
1028,,ACB5AC_7,,
1029,,ACB5AC_8,,
1030,,ACB5AC_9,,
1031,,ACB963_1,,
1032,,ACB963_2,,
1033,,ACDAEC_1,,
1034,,ACE9E2_1,,
1035,,ACE9E2_2,,
1036,,ACED6E_2,,
1037,,ACF8BE_1,,
1038,,ACF8BE_2,,
1039,,ACFD14_2,,
1040,,ACFD14_5,,
1041,,AD5149_2,,
1042,,AD5149_3,,
1043,,AD5658_1,,
1044,,AD5658_2,,
1045,,AD59DB_1,,
1046,,AD5C37_1,,
1047,,AD67CD_1,,
1048,,AD67CD_2,,
1049,,AD8F21_1,,
1050,,AD8F21_2,,
1051,,ADAB9C_1,,
1052,,ADAB9C_2,,
1053,,ADAB9C_3,,
1054,,ADAF12_2,,
1055,,ADB2C3_1,,
1056,,ADC201_1,,
1057,,ADD25E_1,,
1058,,ADD25E_3,,
1059,,ADD336_1,,
1060,,ADDF59_1,,
