,cluster_0,cluster_1,cluster_2,cluster_3
46,-74.80385748581521,-73.94481161204334,-75.53116318568777,-73.91656466873349
47,-74.81956243674082,-73.94408428122519,-75.52456312354448,-73.90323254643792
48,-74.83492241269552,-73.94327971120389,-75.51756145882354,-73.89071984088085
49,-74.85115689504607,-73.9423760760669,-75.5113938161992,-73.87794253892393
50,-74.86629894297573,-73.94178022761014,-75.50385238129273,-73.86498078849708
51,-74.88148153069956,-73.94122822447513,-75.49723041514665,-73.85057793909614
52,-74.89732281395733,-73.94064192273053,-75.4902912453314,-73.83832417105148
53,-74.91206114891561,-73.94019660037789,-75.4833834352597,-73.82567147977507
54,-74.92703530923829,-73.93984107229237,-75.47751518075695,-73.81336719608827
55,-74.94208130726747,-73.93943342166862,-75.4704232625789,-73.80129134490821
56,-74.95649189873907,-73.93916754534247,-75.46416166549167,-73.7888514155555
57,-74.97206020216302,-73.93885705493715,-75.45741370237329,-73.77713736547317
58,-74.98809362320335,-73.93841282427235,-75.44945528423852,-73.76449525985296
59,-75.00485513775723,-73.93830368948028,-75.44332790434211,-73.75274286227618
60,-75.01939680047556,-73.93815686727038,-75.43634262585304,-73.74066616418531
61,-75.0359062231201,-73.93790940809622,-75.42757360591455,-73.72849673810734
62,-75.05036401776461,-73.9376347357958,-75.42113358950232,-73.7165311372949
63,-75.0659982148111,-73.93764959713205,-75.41507343398764,-73.70503744327321
64,-75.0818932025991,-73.93762044449058,-75.40822416892051,-73.69344145853361
65,-75.09881723314359,-73.93756854551957,-75.40204818031548,-73.68178491985364
66,-75.11489092330457,-73.93750085894034,-75.39548208178158,-73.67061899817014
67,-75.13054258001168,-73.93740549044287,-75.3896190245194,-73.65885779567277
68,-75.14574741747357,-73.93752747719479,-75.3837938482611,-73.64727595386987
69,-75.16119808937422,-73.93752263323853,-75.37814260529771,-73.63620515636185
70,-75.17674008841378,-73.93752955302175,-75.37237296276675,-73.62472449817058
71,-75.19156545627243,-73.93751148364096,-75.36530975933532,-73.6143698233827
72,-75.20580654379984,-73.93764551926155,-75.35930309727932,-73.6030040351222
73,-75.21964789186075,-73.93760908513889,-75.353944560392,-73.59159726005937
74,-75.23399569852505,-73.93781586974622,-75.34822703616338,-73.58042732046921
75,-75.24837351539111,-73.93801603430843,-75.34051907659513,-73.56997888948474
76,-75.26299964299902,-73.93810280845706,-75.33401489393205,-73.55931527870523
77,-75.27712005734803,-73.93821868948781,-75.32871030958725,-73.54887793172058
78,-75.29118707770299,-73.93829504112972,-75.32189533723958,-73.538239119633
79,-75.3042208048321,-73.93809852276515,-75.3147894461071,-73.52841138990567
80,-75.31757820939107,-73.93820127477868,-75.30976875265394,-73.5186624298072
81,-75.33078568908726,-73.93832014415213,-75.30442819242778,-73.50922160147833
82,-75.3439636205778,-73.93759517525649,-75.2987929628094,-73.49976540011492
83,-75.35627455537059,-73.93761279795761,-75.29408458244524,-73.4905547050384
84,-75.36854785317759,-73.9375422985129,-75.28844804933122,-73.48146844972966
85,-75.38119400026193,-73.93762092567452,-75.28337439949803,-73.47237653006717
86,-75.39328795130463,-73.9376263514285,-75.27911955072041,-73.46378755461794
87,-75.40511468981974,-73.93769484928443,-75.27421634132197,-73.45525059767668
88,-75.41770976887094,-73.93770125428894,-75.26906242821352,-73.44688479488605
89,-75.43011155395588,-73.93766456351588,-75.26375828470648,-73.43833902482477
90,-75.44306590640423,-73.93788613442547,-75.25762082977458,-73.43057792668526
91,-75.45250652058488,-73.93795179912263,-75.25260093279033,-73.42296529471994
92,-75.46400515041752,-73.9379441201886,-75.24839709475346,-73.41583406376537
93,-75.47516650375913,-73.9380948302397,-75.24457575052715,-73.40826328027218
94,-75.48558473974555,-73.93800164392421,-75.23800273942165,-73.40157829645595
95,-75.49693504027067,-73.93791691195092,-75.23431672234105,-73.3938849412091
96,-75.5076320639582,-73.9373498801311,-75.22965834643843,-73.38669893035816
97,-75.51821441830488,-73.93756279717624,-75.22500033078065,-73.38010194506123
98,-75.5285905088835,-73.9377595386533,-75.22023044183341,-73.37301315986227
99,-75.53892342864741,-73.9377543038381,-75.21556396349821,-73.36671498740075
100,-75.54869512449154,-73.93774689707287,-75.21106304897307,-73.36074337631156
101,-75.56058297778692,-73.93766225229817,-75.20659526044197,-73.35462736784115
102,-75.57166431778805,-73.93781547274816,-75.2036169015692,-73.34888062250333
103,-75.58112722245477,-73.93779798567668,-75.19890860246373,-73.34325425584294
104,-75.59052768103463,-73.93782026526064,-75.19422740014663,-73.33776682883585
105,-75.60133729567596,-73.93790160319604,-75.19000742363598,-73.33219594977439
106,-75.61040930540715,-73.93793644830323,-75.1842604708718,-73.3268364004682
107,-75.61879376847644,-73.93804011806216,-75.18011801485164,-73.32187331857108
108,-75.62809482126062,-73.93813935189063,-75.17542255941628,-73.3172540279802
109,-75.6362144090168,-73.93817056239638,-75.16996571745672,-73.31270041925798
110,-75.64475702455196,-73.93819569941147,-75.16504217233752,-73.30829085115036
111,-75.65353607527747,-73.93832391853283,-75.15920255879195,-73.30391194329108
112,-75.66167437347293,-73.93841481881248,-75.15494406600097,-73.2995553973026
113,-75.66935534155006,-73.93847763881156,-75.1509237023265,-73.2957882888443
114,-75.67696262921575,-73.93848079347964,-75.14655761420896,-73.29187263190941
115,-75.68397155381231,-73.93854710955151,-75.14254669477076,-73.28912756149005
116,-75.69186654084575,-73.93866123490035,-75.13746788399352,-73.2859649489203
117,-75.69888514713726,-73.93870757868373,-75.13328246032279,-73.28256599648833
118,-75.70568037842393,-73.9387386361656,-75.12891669098997,-73.27953681209212
119,-75.71256731373676,-73.93867804427838,-75.12479776823359,-73.27674449232214
120,-75.71907263207258,-73.93860416512044,-75.11996577507333,-73.27387570404994
121,-75.72569671625932,-73.93856949668421,-75.11599470687152,-73.27161408650505
122,-75.73346497633358,-73.93862146551642,-75.11082599450182,-73.26905146231965
123,-75.73974752374761,-73.93863706320904,-75.10620458963814,-73.26689180387099
124,-75.7459810023275,-73.93871215115334,-75.10244169529732,-73.26496375092925
125,-75.75165084375215,-73.93872912083128,-75.09813821949392,-73.26273939636653
126,-75.75740781794308,-73.93867022158604,-75.09339556119437,-73.26107322927278
127,-75.76386169208843,-73.93867909890398,-75.08878402226753,-73.25909903864196
128,-75.7697338633543,-73.9387862196016,-75.08186703119225,-73.25692096279865
129,-75.77529871176499,-73.93896869097621,-75.07806333416839,-73.25563753270009
130,-75.78033115233443,-73.93898120289562,-75.07368486600657,-73.25412953458085
131,-75.78541820176905,-73.93917764395243,-75.06908908851358,-73.25263035085712
132,-75.79040148373383,-73.93918834874619,-75.06520544884003,-73.25138047704829
133,-75.79491999148506,-73.93933025929869,-75.06021517412348,-73.25039687888413
134,-75.7992857203456,-73.93934268561111,-75.05605625776047,-73.24988311523958
135,-75.80359137206256,-73.9393480272929,-75.0521806406996,-73.24877789080804
136,-75.80753707769794,-73.93927118287088,-75.04842242989923,-73.24787800671588
137,-75.81148405947889,-73.93926239610533,-75.04448527456465,-73.24678720400192
138,-75.8153066627582,-73.93920336356106,-75.04028887749718,-73.24558667386228
139,-75.81888152215338,-73.93918520686799,-75.0360189316189,-73.24440975919636
140,-75.82223191617422,-73.93937782704576,-75.03230216028139,-73.24312807183748
141,-75.82556513294357,-73.93931772538068,-75.02808837129801,-73.24224961925324
142,-75.82850427571775,-73.93933777713698,-75.02428979186551,-73.24137573612454
143,-75.8313901982939,-73.93931517723743,-75.02028179253249,-73.2406474671736
144,-75.8341629716984,-73.93937070296543,-75.01627998805877,-73.23990766689796
145,-75.8368855732098,-73.93940873292483,-75.0125138066991,-73.2394310410575
146,-75.83946999066022,-73.93947618291959,-75.00843679489547,-73.23894697158529
147,-75.84196697478399,-73.9395104558357,-75.00433050055857,-73.23831490135234
148,-75.84452516143085,-73.93969999097924,-75.00089910913704,-73.2373834009574
149,-75.8469533793012,-73.93972135185146,-74.99685811713782,-73.2367546555053
