,cluster_0,cluster_1,cluster_2,cluster_3
0,40.64389019882534,40.775314980843305,39.48581118372471,39.53616914200339
1,40.642723142263016,40.77500042259067,39.48546871005368,39.54954207993048
2,40.6417638483441,40.77424065649448,39.48413221540616,39.56294873212495
3,40.63862398047536,40.77390998720698,39.483658842559656,39.57614649713425
4,40.63490506759349,40.773554783895435,39.484223053176436,39.59094098506276
5,40.63395928714256,40.774115810762744,39.484504873043306,39.60459188175607
6,40.635568041946506,40.77417613235447,39.49092671559961,39.61826460255339
7,40.63367853324363,40.7738440099213,39.494805188087454,39.632272385102986
8,40.630750995957925,40.773737386381434,39.493108914031026,39.64559244576659
9,40.62688185554506,40.7736299559777,39.49094702854272,39.659151913761875
10,40.6247635631813,40.77395943608637,39.489917869086845,39.67188759613182
11,40.62080451917011,40.77400359371812,39.488878528763344,39.68540506226796
12,40.61787178445692,40.77424403420293,39.48716917985267,39.698574072993715
13,40.6136665641658,40.77506256560288,39.48338558444644,39.71188032844163
14,40.610777919853895,40.77550084213044,39.48170815588657,39.724415047848176
15,40.60784617282661,40.775961505436975,39.47979657347472,39.738352847151425
16,40.60475277314912,40.77690679557026,39.47813488320873,39.74952186117661
17,40.60245701585887,40.77770462823886,39.475850588791246,39.762138135264806
18,40.598844764730984,40.77856130422309,39.47355031106902,39.77523867863077
19,40.59582377735909,40.77943422668968,39.47081623903369,39.788928298071625
20,40.59186412191266,40.78033179380961,39.467832834849055,39.8030800296526
21,40.58766119069347,40.78100920565253,39.46456588653069,39.81597533096163
22,40.58387644411226,40.78159333312898,39.46125917366439,39.82958097871449
23,40.57982265402203,40.78232383324336,39.458506294642746,39.84298292260723
24,40.57568057885826,40.783033871872256,39.45590547754608,39.855709034932346
25,40.571144952961646,40.78374669149643,39.45213022672486,39.86826548108225
26,40.56759558344601,40.78429775416006,39.4485265478492,39.88136315282376
27,40.564466209734086,40.7848427429486,39.44487794827188,39.8943873782801
28,40.56069397906472,40.78543183862963,39.44175645354147,39.90787023050949
29,40.557015270450016,40.786018413645195,39.43767563448541,39.920428111671704
30,40.55272312600154,40.78680607078145,39.433948709117864,39.932948948116575
31,40.548069833643794,40.787329006854996,39.42993294850254,39.94573711078776
32,40.54373572953134,40.78773958647735,39.4261853422894,39.95898094201797
33,40.53954125023349,40.78837530752256,39.42278959091821,39.97162984878959
34,40.53553149281605,40.78880610267417,39.41854702797018,39.983722038098705
35,40.530983826762714,40.78940538485651,39.414771096539205,39.996330630088494
36,40.52640404517588,40.78982458680741,39.41122056049535,40.008791370758146
37,40.521981511146606,40.79033598719842,39.40825696016322,40.02127505743186
38,40.516370824708446,40.79087092750769,39.404994933851754,40.03327193835259
39,40.511591771070336,40.791118697919366,39.401501194996,40.045642592108806
40,40.50663949335339,40.79163457993875,39.398269586622575,40.057890048364094
41,40.50169137259411,40.79215953718721,39.39536976190315,40.06993230756074
42,40.496700967815535,40.79259712968522,39.39158214190613,40.08194254292615
43,40.491403920064954,40.79301806326578,39.38890458726839,40.09368738359234
44,40.48653342286364,40.793286807309094,39.38490253748723,40.105142906030345
45,40.48185467252338,40.79338227669106,39.382438979478486,40.11707616840414
46,40.47559517090264,40.79376326427119,39.37961683579632,40.128713232132014
47,40.47071704727991,40.79399578048699,39.37702291174516,40.14087944517016
48,40.465974669885,40.79427988954028,39.37419356195726,40.15202607944514
49,40.46056831181684,40.79453432830614,39.37190839457,40.163484969005566
50,40.455533600312556,40.79500742185511,39.369373178252054,40.17535016415869
51,40.45067076270411,40.79539746247803,39.36707028277291,40.187984722095806
52,40.4459346730183,40.796014010524125,39.36473331111135,40.19908208430264
53,40.44107223145775,40.79641489286049,39.362697717878014,40.2104838721446
54,40.436608389859934,40.79687607007063,39.36059931651464,40.221557322654284
55,40.43153867922832,40.797526112181274,39.35839458481796,40.23237742871309
56,40.42691618229082,40.79782100737197,39.35658888958277,40.243904929549785
57,40.42178516479521,40.798169836039634,39.35491607982683,40.25468223687039
58,40.417460181804394,40.79855528725248,39.35377902434054,40.26583885946606
59,40.41266085042618,40.79870263978358,39.35239050194864,40.276831297026604
60,40.40747215125018,40.799034083991394,39.35004561612777,40.287965324328994
61,40.402142762560764,40.799359157769324,39.34907777295452,40.29931012984582
62,40.397889208692646,40.79955285065592,39.34734281541459,40.310002982302876
63,40.392589772860816,40.799826931892106,39.34601366609654,40.32103293598206
64,40.38738601346035,40.80006089820353,39.34515999879083,40.33156447915632
65,40.38172977239735,40.80018386967648,39.343958286152294,40.34227686102352
